Turkish,English
üretmek,to produce
üstüne,over
dayanmak,to resist
ince,thin
kaç,how much
ortak,partner
tip,medicine
görüntü,image
beri,since
ders,lesson
başkan,minister
karşılık,opposite
kurtulmak,to be saved
numara,number
defa,times
edilmek,to be
batı,West
fark etmek,to notice
herhangi bir,any
sinema,cinema
değişik,strange
hedef,aim
uyumak,to sleep
dost,friend
yanmak,burn
anlayış,understanding
asıl,royal
basmak,print
kenar,edge
kontrol,control
çevirmek,translate
din,religion
güçlü,strong
henüz,yet
plan,plan
beyin,brain
elektrik,electric
karı,wife
üstünde,above
et,meat
sağlanmak,be provided
söylenmek,to complain
çizgi,line
uç,fly
üye,member
cilt,skin
ruh,soul
sevgili,beloved
yaklaşmak,approach
süreç,period
bakış,view
bilim,science
ileri,forward
ifade,expression
beden,body
hatırlamak,to remember
kaza,accident
iyice,thoroughly
dağ,mountain
kapatmak,to close
adım,my name
ciddi,serious
çözüm,solution
etkilemek,to influence
belediye,council
gelişme,development
seçim,vote
ağlamak,to cry
bağlı,connected
kavram,concept
artırmak,increase
faaliyet,activity
zarar,damage
derin,deep
salon,lounge
çeşit,sort
kesilmek,be cut off
seyretmek,watch
birden,suddenly
içermek,to contain
sayılmak,be counted
toplamak,to collect
aşmak,exceed
bağırmak,to shout
sorumluluk,responsibility
davranmak,to behave
mektup,letter
soğuk,cold
canlı,live
idi,was
makine,machine
yararlanmak,benefit
yaşlı,old
boş,empty
acaba,I wonder
maç,match
yönetici,executive
getirilmek,to be brought
metre,metre
tutulmak,be held
kalite,quality
bitki,herb
değişiklik,change 
ilaç,medicine
kredi,credit
yasa,law
başarılı,successful
birer,one each
imkan,facility
ceza,punishment
her şey,everything
incelemek,to examine
top,ball
uzman,expert
doldurmak,to fill
kanal,channel
mekân,space
uymak,to suit
yıllık,annual
dolayısıyla,therefore
yazılmak,to be written
ait,belongs to
parmak,finger
saymak,to count
atılmak,to be thrown away
belirlemek,to determine
normal,normal
hele,come on
ilke,principle
kırmızı,red
rol,role
şarkı,song
eleman,element
hazır,ready
benzemek,to resemble
bir şey,Something
hoca,teacher
boy,size
günlük,daily
politika,policy
suç,crime
niye,Why
sahne,scene
sokmak,sting
adet,piece
koltuk,armchair
kurtarmak,to save
sanatçı,artist
tercih etmek,to prefer
uzanmak,to lie down
aşama,stage
eklemek,to add
orman,forest
ayırmak,to separate
düzen,order
faiz,interest
genellikle,Generally
her zaman,Always
hikaye,story
hücre,cell
ora,there
roman,novel
vergi,tax
yakmak,burn
ağabey,elder brother
basın,press
destek,support
giymek,to wear
hata,mistake
sınır,border
birlik,unity
eser,work
karşılamak,to meet
yarı,half
yeterli,sufficient
birey,individual
karanlık,darkness
otobüs,bus
sanayi,industry
bebek,baby
vatandaş,citizen
bakan,minister
kere,times
millet,people
reklam,advert
yükselmek,rise
boyut,dimension
dergi,magazine
enflasyon,inflation
sosyal,social
birisi,someone
geçmiş,past
hastahane,hospital
olma,being
toplantı,meeting
gazeteci,journalist
içerisi,inside
inanç,belief
nitelik,qualification
üzeri,above
bitirmek,finish
gerçekleşmek,come true
giriş,entrance
rahat,comfortable
toplam,total
beraber,together
dükkan,shop
gizli,hidden
benzer,similar
deri,skin
dönüşmek,to transform
mücadele,struggle
problem,problem
servis,service
tedavi,treatment
yeşil,green
bakanlık,ministry
baskı,oppression
tepki,reaction
cümle,sentence
dilemek,wish
özgürlük,freedom
gene,again
kimlik,identity
mesele,issue
üçüncü,third
belirlenmek,be determined
değerlendirmek,to evaluate
ilginç,interesting
sürücü,driver
süt,milk
yakalamak,to capture
eşya,furniture
uluslararası,international
aday,applicant
ağırlık,weight
milyar,billion
sağlıklı,healthy
sıkıntı,problem
Tanrı,God
tavır,attitude
toplumsal,social
yayın,broadcasting
dikkat etmek,pay attention
son derece,extremely
toplanmak,collect
yatırım,investment
hafif,light
karışmak,interfere
tehlike,danger
vakit,time
daire,apartment
fırsat,opportunity
işlemek,handle
karıştırmak,to mix up
katkı,contribution
öykü,story
tamamen,completely
uçak,aeroplane
yanıt,response
doğa,nature
evlenmek,to marry
burun,nose
çıkar,interest
elbette,certainly
işçi,employee
işletme,business
kısaca,briefly
mağaza,shopping centre
medya,media
yüzünden,because
artış,increase
çıkarılmak,be removed
kamu,public
sigorta,insurance
yaz,Summer
yürek,heart
belge,document
çaba,effort
her gün,every day
ifade etmek,to express 
risk,risk
söz etmek,speak of
sözcük,word
demokrasi,democracy
tuz,salt
cami,mosque
çağ,age
düşük,low
etraf,surroundings
hızla,quickly
olanak,opportunity
organ,organ
öldürmek,kill
öteki,other
sene,year
bozulmak,to deteriorate
ilgilenmek,to take care of
meyve,fruit
takılmak,to hang around
tatlı,sweet
bacak,leg
değişim,change
kanun,law
rüzgar,wind
cumhuriyet,republic
geliştirmek,to develop
tarz,style
yedi,seven
azalmak,decrease
bağlamak,to connect
cep telefonu,mobile phone
iletişim,communication
müdür,manager
otel,hotel
yayımlanmak,to be published
zevk,pleasure
binmek,to get on
güvenlik,security
hukuk,law
kılmak,to make
modern,modern
okur,reader
silah,weapon
talep,request
yıldız,star
yoğun,busy
asker,soldier
basit,simple
denilmek,to be called
gaz,gas
uygulama,APPLICATION
üretilmek,be produced
beyan,declaration
besin,food
dün,Yesterday
görüşmek,to meet 
yaklaşık,approximately
alışveriş,shopping
bilinç,consciousness
çerçeve,frame
lazım,required
mevcut,available
tüketici,consumer
uzatmak,to lengthen
yönelik,oriented
at,horse
bağlanmak,connect
mesela,for example
neredeyse,almost
site,site
yardımcı olmak,help
abla,older sister
çiçek,flower
hepsi,all
saygı,respect
ücret,fee
yetenek,talent
kilo,kilo
paylaşmak,to share
sert,hard
yanı sıra,as well as
çay,tea
gider,expense
kesin,definite
zengin,rich
asla,never
laf,word
örgüt,organization
ticaret,trade
yaptırmak,make
boyun,neck
cihaz,device
denge,balance
giderek,increasingly
sırt,back
dolayı,because
kahve,coffee
kas,eyebrow
meclis,council
öteki,other
uğraşmak,to strive
adres,address
belirtilmek,to be specified
paşa,pasha
sıcaklık,heat
tamam,Ok
güven,trust
marka,brand
yaprak,leaf
yarar,benefit
yayılmak,spread
akmak,flow
çizmek,to draw
düşünülmek,to be considered
gönül,heart
hayal,dream
ilerlemek,to go forward
şarap,wine
yukarıda,above
altın,gold
düzenlemek,to organise
satın almak,to buy
sunulmak,to be presented
temiz,clean
vitamin,vitamin
ek,additional
geç,late
hareket etmek,act
yumurta,egg
aşırı,extreme
eylem,action
istenmek,to be wanted
kesim,cut
kriz,crisis
birim,unit
kapanmak,close
